Institute Id,Institute Name,City,State,Score,Rank,TLR,RPC,GO,OI,Perception,year
IR17-ENGG-2-18248,Indian Institute of Technology Kanpur,Kanpur,Uttar Pradesh,76.83,5,84.28,77.28,74.29,61.35,73.59,3
IR17-ENGG-2-18677,Indian Institute of Technology Roorkee,Roorkee,Uttarakhand,73.1,6,72.3,74.36,88.31,70.95,43.47,3
IR17-ENGG-2-1-251,Indian Institute of Technology Guwahati,Guwahati,Assam,72.3,7,89.29,59.98,77.08,80.11,40.95,3
IR17-ENGG-2-18292,Anna University,Chennai,Tamil Nadu,63.97,8,63.62,67.63,67.99,59.71,50.21,3
IR17-ENGG-2-10326,Jadavpur University,Kolkata,West Bengal,62.59,9,59.42,71.38,74.96,49.76,33.82,3
IR17-ENGG-2-1-345,Indian Institute of Technology Hyderabad,Hyderabad,Telangana,60.24,10,82.6,36.21,71.26,73.75,29.72,3
IR17-ENGG-1-1-370,National Institute of Technology Tiruchirappalli,Tiruchirappalli,Tamil Nadu,59.44,11,62.0,46.27,74.38,75.81,45.04,3
IR17-ENGG-2-1-140,National Institute of Technology Rourkela,Rourkela,Odisha,58.78,12,64.21,49.22,80.12,68.07,19.23,3
IR17-ENGG-2-18572,Vellore Institute of Technology,Vellore,Tamil Nadu,58.16,13,56.49,54.02,64.91,75.56,44.6,3
IR17-ENGG-2-18261,Institute of Chemical Technology,Mumbai,Maharashtra,57.97,14,70.35,47.58,74.25,59.54,17.8,3
IR17-ENGG-2-1-346,Indian Institute of Technology Indore,Indore,Madhya Pradesh,57.7,15,83.73,32.72,70.72,75.64,10.64,3
IR17-ENGG-2-18599,Birla Institute of Technology  & Science -Pilani,Pilani,Rajasthan,55.43,16,66.15,35.05,70.27,59.86,50.32,3
IR17-ENGG-2-18690,"Indian Institute of Engineering Science And Technology, Shibpur",Howrah,West Bengal,54.42,17,71.02,40.3,59.43,58.47,32.82,3
IR17-ENGG-1-18627,Indian Institute of Technology Bhubaneswar,Bhubaneswar,Odisha,54.32,18,79.66,28.87,63.69,76.69,13.5,3
IR17-ENGG-2-1-344,Indian Institute of Technology Patna,Patna,Bihar,54.02,19,74.78,27.7,72.78,72.78,14.35,3
IR17-ENGG-1-10356,Jamia Millia Islamia,New Delhi,Delhi,53.7,20,60.01,38.73,80.24,73.39,6.92,3
IR17-ENGG-2-1-340,Indian Institute of Technology Ropar,Rupnagar,Punjab,52.93,21,78.92,27.63,62.97,76.06,7.68,3
IR17-ENGG-1-1-493,National Institute of Technology Surathkal,Surathkal,Karnataka,52.87,22,62.53,32.6,73.71,64.28,31.56,3
IR17-ENGG-1-18632,Indian Institute of Technology (Indian School of Mines),Dhanbad,Jharkhand,52.58,23,57.19,40.14,69.42,67.49,27.52,3
IR17-ENGG-1-1-2809541361,"College of Engineering, Pune",Pune,Maharashtra,52.14,24,70.56,24.47,70.09,69.81,26.33,3
IR17-ENGG-2-18477,Shanmugha Arts Science Technology & Research Academy (SASTRA),Thanjavur,Tamil Nadu,51.44,25,62.38,36.31,67.32,67.13,16.73,3
IR17-ENGG-2-1-2813959492,Thapar University,Patiala,Punjab,51.35,26,56.85,41.77,73.33,52.08,18.9,3
IR17-ENGG-1-1-2811256746,Sri Sivasubrmaniya Nadar College of Engineering,Kalavakkam,Tamil Nadu,50.77,27,74.22,24.88,65.82,61.56,17.17,3
IR17-ENGG-1-1-249,Indian Institute of Space Science and Technology,Thiruvananthapuram,Kerala,50.6,28,81.23,14.74,60.24,70.29,27.33,3
IR17-ENGG-2-18639,Indian Institute of Technology Mandi,Mandi,Himachal Pradesh,50.6,28,78.98,17.99,66.78,74.26,7.24,3
IR17-ENGG-1-18628,Indian Institute of Technology Gandhinagar,Ahmedabad,Gujarat,50.43,30,79.73,14.41,59.25,75.94,27.54,3
IR17-ENGG-2-18672,"Indian Institute of Technology (Banaras Hindu University), Varanasi",Varanasi,Uttar Pradesh,49.92,31,61.22,25.36,71.67,59.03,37.11,3
IR17-ENGG-2-1-2811781771,Birla Institute of Technology,Ranchi,Jharkhand,49.92,31,65.59,29.36,64.22,72.08,13.8,3
IR17-ENGG-1-2811179135,PSG College of Technology,Coimbatore,Tamil Nadu,49.49,33,66.54,23.64,57.05,62.81,47.48,3
IR17-ENGG-2-18622,National Institute of Technology Warangal,Warangal,Telangana,49.47,34,66.94,25.44,68.92,65.85,14.01,3
IR17-ENGG-2-1-596,S.R.M Institute of Science and Technology,Chennai,Tamil Nadu,49.2,35,59.75,31.69,57.93,82.94,18.79,3
IR17-ENGG-2-1-NEW5,"National Institute of Industrial Engineering, Mumbai",Mumbai,Maharashtra,47.47,36,80.8,1.25,71.62,77.94,7.54,3
IR17-ENGG-2-1-2811366803,Thiagarajar College of Engineering,Madurai,Tamil Nadu,47.01,37,66.01,26.76,57.78,59.0,17.18,3
IR17-ENGG-1-11736,Pondicherry Engineering College,Puducherry,Pondicherry,46.37,38,66.45,20.44,69.4,61.68,2.54,3
IR17-ENGG-2-12907,Delhi Technological University,New Delhi,Delhi,46.19,39,50.95,24.48,72.9,67.16,22.64,3
IR17-ENGG-2-10949,Zakir Husain College of Engineering & Technology,Aligarh,Uttar Pradesh,46.18,40,71.3,33.57,47.24,48.05,4.57,3
IR17-ENGG-2-1-357,Motilal Nehru National Institute of Technology,Allahabad,Uttar Pradesh,45.68,41,56.0,30.32,66.14,56.74,8.82,3
IR17-ENGG-1-1-225,"Visvesvaraya National Institute of Technology, Nagpur (Deemed University)",Nagpur,Maharashtra,45.52,42,60.59,21.88,61.04,69.96,15.72,3
IR17-ENGG-1-1-2816307230,Manipal Institute of Technology,Manipal,Karnataka,45.38,43,70.66,11.94,59.32,63.31,24.06,3
IR17-ENGG-2-18613,National Institute of Technology Calicut,Calicut ,Kerala,44.5,44,53.28,21.15,60.77,73.98,26.25,3
IR17-ENGG-1-1-2811981253,M. S. Ramaiah Institute of Technology,Bengaluru,Karnataka,44.35,45,67.06,13.09,65.46,62.97,9.07,3
IR17-ENGG-2-18259,AMITY University,Gautam Budh Nagar,Uttar Pradesh,44.16,46,60.02,29.5,51.14,61.36,9.43,3
IR17-ENGG-2-1-336,Kalinga Institute of Industrial Technology,Bhubneshwar,Odisha,43.68,47,52.55,14.08,71.82,66.05,27.39,3
IR17-ENGG-2-1-668,Sri Venkateswara University,Tirupati,Andhra Pradesh,43.53,48,54.81,33.56,54.93,55.88,4.42,3
IR17-ENGG-1-29885,R.V. College of Engineering,Bengaluru,Karnataka,43.42,49,69.03,12.13,60.62,54.58,14.86,3
IR17-ENGG-1-18659,Sardar Vallabhbhai National Institute of Technology,Surat,Gujarat,43.3,50,50.43,28.91,61.07,62.28,10.65,3
IR17-ENGG-1-11716,Coimbatore Institute of Technology,Coimbatore,Tamil Nadu,43.29,51,62.88,14.72,57.41,68.04,17.42,3
IR17-ENGG-2-1-2812016223,B.M.S. College of Engineering,Bengaluru,Karnataka,42.86,52,68.76,5.48,62.43,68.13,12.85,3
IR17-ENGG-1-18612,National Institute of Technology Silchar,Silchar,Assam,42.73,53,61.17,18.43,59.99,58.3,10.17,3
IR17-ENGG-2-1-321,Jaypee Institute of Information Technology,Noida,Uttar Pradesh,42.63,54,51.11,19.82,64.97,81.02,2.63,3
IR17-ENGG-2-18649,National Institute of Technology Durgapur,Durgapur,West Bengal,42.56,55,48.09,34.95,50.88,57.93,16.69,3
IR17-ENGG-1-18257,"Indraprastha Institute of Information Technology-New Delhi (IIIT New Delhi, Delhi)",New Delhi,Delhi,42.55,56,48.55,20.83,70.69,55.41,20.45,3
IR17-ENGG-1-12121,Kongu Engineering College,Perundurai,Tamil Nadu,42.43,57,60.47,13.96,60.8,62.39,17.04,3
IR17-ENGG-2-1-11112,Vel Tech Rangarajan Dr.Sagunthala R&D Institute of Science and Technology,Chennai,Tamil Nadu,42.31,58,60.49,23.07,42.07,73.59,14.68,3
IR17-ENGG-2-18615,National Institute of Technology Hamirpur,Hamirpur ,Himachal Pradesh,42.02,59,55.11,19.99,62.59,67.66,1.95,3
IR17-ENGG-1-1-144,National Institute of Technology Kurukshetra,Kurukshetra,Haryana,41.61,60,52.27,28.6,53.5,58.03,8.53,3
IR17-ENGG-2-1-441,Maulana Azad National Institute of Technology,Bhopal,Madhya Pradesh,41.25,61,51.97,13.74,71.45,65.33,7.2,3
IR17-ENGG-2-18312,Karunya Institute of Technology and Sciences-Coimbatore,Coimbatore,Tamil Nadu,40.97,62,54.14,20.06,49.83,77.68,9.66,3
IR17-ENGG-1-18288,Jawaharlal Nehru Technological University,Hyderabad,Telangana,40.45,63,54.92,17.44,63.55,55.51,4.82,3
IR17-ENGG-2-24411,Shri Ramdeobaba College of Engineering and Management,District Nagpur,Maharashtra,40.36,64,64.46,2.11,56.14,70.19,21.36,3
IR17-ENGG-1-18631,Indian Institute of Technology Jodhpur,Jodhpur,Rajasthan,40.2,65,68.8,8.51,50.37,60.47,8.9,3
IR17-ENGG-2-10518,Bharati Vidyapeeth Deemed University College of Engineering,Pune,Maharashtra,40.18,66,59.88,2.45,58.41,72.03,25.99,3
IR17-ENGG-2-12233,"G. H. Raisoni College of Engineering, NAGPUR",Nagpur,Maharashtra,39.87,67,52.12,8.9,55.53,69.84,34.72,3
